CustomerID,Age,Gender,Region,ContractType,MonthlyCharges,SignupDate
CUST_162,,Male,Urban,Prepaid,35.0,2019-04-12
CUST_163,,Female,Urban,Yearly,41.79,2021-09-09
CUST_164,,Male,Urban,Prepaid,20.95,2018-05-27
CUST_165,,Female,Rural,Yearly,51.6,2023-09-06
CUST_166,56.0,Female,Urban,Prepaid,65.77,2018-04-27
CUST_167,62.0,Male,Suburban,Prepaid,50.47,2022-06-12
CUST_168,32.0,Male,Urban,Prepaid,62.04,2018-09-04
CUST_169,60.0,Female,Suburban,Prepaid,56.43,2021-04-22
CUST_170,46.0,Female,Suburban,Yearly,68.15,2022-11-13
CUST_171,53.0,Male,Suburban,Monthly,35.3,2018-12-19
CUST_172,30.0,Female,Suburban,Yearly,63.24,2021-10-06
CUST_173,49.0,Male,Rural,Yearly,78.3,2019-10-09
CUST_174,,Male,Suburban,Monthly,88.48,2021-12-07
CUST_175,,Female,Urban,Monthly,71.3,2019-09-15
CUST_176,,Male,Suburban,Monthly,52.57,2018-07-17
CUST_177,45.0,Male,Urban,Monthly,35.52,2019-05-20
CUST_178,19.0,Male,Rural,Prepaid,37.75,2018-04-01
CUST_179,59.0,Female,Suburban,Monthly,47.4,2022-04-03
CUST_180,,Male,Urban,Monthly,77.9,2020-03-28
CUST_181,,Female,Rural,Prepaid,42.04,2022-12-19
CUST_182,45.0,Female,Rural,Monthly,52.69,2023-11-03
CUST_183,45.0,Female,Urban,Yearly,64.11,2019-01-31
CUST_184,61.0,Male,Suburban,Monthly,0.72,2021-06-23
CUST_185,61.0,Male,Rural,Monthly,34.05,2020-07-01
CUST_186,37.0,Female,Urban,Prepaid,79.3,2021-03-29
CUST_187,47.0,Female,Suburban,Monthly,65.64,2020-08-22
CUST_188,28.0,Male,Rural,Prepaid,65.74,2020-09-05
CUST_189,45.0,Female,Urban,Yearly,35.91,2018-04-28
CUST_190,42.0,Female,Rural,Yearly,71.77,2021-08-25
CUST_191,,Male,Rural,Yearly,37.75,2019-01-01
CUST_192,,Female,Urban,Prepaid,51.37,2018-11-09
CUST_193,18.0,Male,Rural,Prepaid,60.42,2021-04-04
CUST_194,44.0,Male,Urban,Yearly,62.49,2022-03-30
CUST_195,69.0,Female,Suburban,Yearly,57.4,2020-04-14
CUST_196,,Male,Urban,Yearly,46.99,2023-01-15
CUST_197,,Male,Suburban,Monthly,22.29,2021-04-16
CUST_198,,Male,Rural,Monthly,51.24,2018-01-13
CUST_199,56.0,Female,Urban,Prepaid,17.47,2020-07-11
CUST_200,23.0,Female,Urban,Yearly,58.51,2021-12-03
CUST_201,25.0,Female,Urban,Monthly,176.6,2020-12-16
CUST_202,44.0,Male,Urban,Prepaid,47.61,2020-11-29
CUST_203,26.0,Male,Suburban,Prepaid,42.33,2021-04-26
CUST_204,,Female,Suburban,Monthly,58.49,2023-03-06
CUST_205,50.0,Female,Rural,Monthly,38.15,2018-03-13
CUST_206,,Male,Rural,Prepaid,53.84,2020-03-27
CUST_207,59.0,Female,Rural,Prepaid,52.77,2021-04-06
CUST_208,,Female,Rural,Prepaid,50.99,2021-07-23
CUST_209,,Female,Urban,Prepaid,55.89,2023-09-02
CUST_210,32.0,Female,Suburban,Yearly,31.96,2021-05-06
CUST_211,49.0,Female,Suburban,Monthly,32.51,2022-04-09
CUST_212,,Male,Suburban,Monthly,71.5,2020-11-06
CUST_213,41.0,Female,Suburban,Monthly,26.9,2022-12-14
CUST_214,58.0,Female,Rural,Prepaid,82.5,2019-12-20
CUST_215,69.0,Male,Urban,Monthly,47.93,2022-11-05
CUST_216,66.0,Male,Suburban,Yearly,37.24,2019-03-25
CUST_217,66.0,Male,Urban,Monthly,62.92,2019-05-31
CUST_218,,Male,Urban,Monthly,41.57,2020-03-15
CUST_219,29.0,Female,Urban,Monthly,55.07,2021-07-08
CUST_220,56.0,Female,Urban,Yearly,68.65,2021-11-18
CUST_221,19.0,Female,Suburban,Prepaid,60.7,2022-01-02
CUST_222,,Female,Suburban,Prepaid,56.4,2023-06-03
CUST_223,66.0,Male,Suburban,Yearly,59.82,2020-03-09
CUST_224,54.0,Male,Rural,Yearly,50.6,2019-08-14
CUST_225,66.0,Female,Suburban,Monthly,62.17,2022-09-16
CUST_226,,Female,Rural,Prepaid,33.91,2019-04-06
CUST_227,66.0,Female,Rural,Prepaid,71.89,2018-12-05
CUST_228,,Female,Rural,Monthly,47.66,2022-09-28
CUST_229,,Male,Suburban,Yearly,52.66,2023-01-19
CUST_230,,Female,Suburban,Prepaid,45.3,2019-01-17
CUST_231,40.0,Male,Suburban,Monthly,59.09,2021-04-24
CUST_232,54.0,Male,Rural,Yearly,65.81,2019-03-30
CUST_233,49.0,Male,Rural,Prepaid,35.12,2022-04-01
CUST_234,50.0,Male,Urban,Monthly,48.96,2022-07-19
CUST_235,18.0,Female,Rural,Prepaid,52.55,2019-01-10
CUST_236,36.0,Female,Rural,Yearly,56.54,2021-05-10
CUST_237,19.0,Female,Suburban,Yearly,45.63,2021-05-26
CUST_238,61.0,Female,Urban,Prepaid,43.52,2022-02-08
CUST_239,43.0,Male,Urban,Yearly,63.29,2021-04-19
CUST_240,49.0,Male,Urban,Yearly,57.63,2018-03-24
CUST_241,23.0,Male,Suburban,Yearly,53.23,2021-09-21
CUST_242,,Female,Urban,Monthly,68.74,2018-10-12
CUST_243,21.0,Male,Urban,Monthly,29.93,2019-11-14
CUST_244,28.0,Male,Suburban,Prepaid,61.98,2019-04-17
CUST_245,34.0,Male,Urban,Prepaid,55.6,2019-01-28
CUST_246,55.0,Male,Rural,Monthly,28.18,2020-01-15
CUST_247,41.0,Female,Rural,Prepaid,67.49,2019-12-06
CUST_248,22.0,Male,Rural,Monthly,58.85,2022-09-06
CUST_249,69.0,Male,Rural,Monthly,60.85,2021-01-24
CUST_250,51.0,Female,Rural,Yearly,45.45,2022-02-03
CUST_251,,Female,Rural,Yearly,61.44,2018-10-11
CUST_252,39.0,Female,Rural,Prepaid,39.04,2022-10-15
CUST_253,,Male,Rural,Monthly,29.82,2018-04-28
CUST_254,,Male,Rural,Monthly,49.8,2018-05-17
CUST_255,33.0,Male,Suburban,Prepaid,60.13,2023-08-06
CUST_256,50.0,Male,Suburban,Prepaid,65.22,2018-05-24
CUST_257,26.0,Female,Rural,Yearly,52.26,2018-10-06
CUST_258,,Male,Suburban,Prepaid,51.1,2022-01-30
CUST_259,,Male,Suburban,Yearly,65.21,2018-02-20
CUST_260,46.0,Female,Rural,Yearly,44.99,2022-04-16
CUST_261,20.0,Female,Rural,Monthly,41.57,2021-12-20
CUST_262,37.0,Female,Suburban,Yearly,74.27,2019-01-03
CUST_263,53.0,Male,Rural,Prepaid,45.83,2022-12-21
CUST_264,,Male,Rural,Yearly,63.75,2022-08-12
CUST_265,43.0,Male,Rural,Yearly,70.39,2022-06-24
CUST_266,20.0,Male,Rural,Prepaid,53.15,2019-11-22
CUST_267,,Male,Suburban,Monthly,53.96,2023-03-20
CUST_268,37.0,Female,Urban,Monthly,76.97,2022-01-15
CUST_269,49.0,Female,Suburban,Prepaid,30.38,2019-01-13
CUST_270,24.0,Male,Urban,Yearly,30.13,2022-06-09
CUST_271,,Male,Urban,Monthly,62.23,2018-01-29
CUST_272,58.0,Male,Urban,Monthly,43.87,2019-05-26
CUST_273,,Male,Suburban,Prepaid,62.92,2022-06-18
CUST_274,,Male,Suburban,Monthly,49.15,2021-02-11
CUST_275,56.0,Female,Suburban,Yearly,62.49,2018-11-16
CUST_276,,Female,Suburban,Monthly,36.78,2021-05-03
CUST_277,57.0,Female,Suburban,Monthly,59.2,2021-11-01
CUST_278,18.0,Male,Urban,Monthly,42.49,2023-03-01
CUST_279,28.0,Male,Suburban,Prepaid,60.8,2018-06-11
CUST_280,,Female,Urban,Monthly,85.47,2020-04-14
CUST_281,42.0,Female,Suburban,Prepaid,37.93,2022-03-29
CUST_282,67.0,Male,Suburban,Prepaid,44.69,2018-11-30
CUST_283,40.0,Female,Rural,Prepaid,48.08,2021-08-17
CUST_284,,Female,Urban,Yearly,54.84,2019-01-14
CUST_285,47.0,Male,Suburban,Yearly,15.63,2023-02-25
CUST_286,,Female,Suburban,Prepaid,50.5,2021-11-12
CUST_287,52.0,Female,Suburban,Prepaid,46.72,2023-03-17
CUST_288,24.0,Female,Rural,Prepaid,46.83,2018-05-11
CUST_289,33.0,Male,Urban,Yearly,54.42,2022-06-25
CUST_290,43.0,Female,Suburban,Monthly,55.31,2023-04-28
CUST_291,,Female,Suburban,Monthly,55.08,2022-06-02
CUST_292,69.0,Female,Suburban,Monthly,33.84,2022-03-22
CUST_293,,Male,Rural,Monthly,46.24,2021-11-28
CUST_294,,Male,Suburban,Prepaid,45.61,2020-05-14
CUST_295,18.0,Female,Urban,Prepaid,57.91,2018-07-16
CUST_296,65.0,Male,Urban,Prepaid,35.51,2019-04-04
CUST_297,,Female,Urban,Monthly,52.9,2020-10-07
CUST_298,22.0,Male,Urban,Yearly,74.13,2018-02-21
CUST_299,54.0,Male,Suburban,Prepaid,10.09,2019-02-16
CUST_300,,Female,Rural,Prepaid,47.45,2021-11-16
CUST_301,,Female,Rural,Yearly,20.23,2018-03-06
CUST_302,58.0,Female,Rural,Prepaid,50.0,2023-01-05
CUST_303,52.0,Male,Suburban,Prepaid,62.53,2022-06-14
CUST_304,36.0,Female,Rural,Yearly,42.34,2020-12-14
CUST_305,,Male,Urban,Monthly,63.89,2022-01-16
CUST_306,,Male,Suburban,Monthly,70.41,2019-01-09
CUST_307,20.0,Female,Rural,Monthly,56.03,2019-07-13
CUST_308,37.0,Male,Urban,Monthly,42.28,2018-01-03
CUST_309,,Female,Urban,Prepaid,58.04,2023-06-17
CUST_310,,Male,Suburban,Monthly,75.21,2021-09-26
CUST_311,,Female,Suburban,Monthly,30.03,2022-02-09
CUST_312,69.0,Male,Rural,Yearly,66.62,2019-05-09
CUST_313,28.0,Male,Rural,Yearly,30.67,2019-03-16
CUST_314,66.0,Female,Rural,Prepaid,27.24,2018-01-06
CUST_315,25.0,Male,Suburban,Monthly,31.5,2019-04-22
CUST_316,53.0,Female,Rural,Prepaid,49.41,2021-06-12
CUST_317,,Male,Rural,Prepaid,68.94,2019-06-30
CUST_318,57.0,Male,Urban,Monthly,19.83,2019-05-18
CUST_319,37.0,Male,Urban,Monthly,64.84,2021-09-10
CUST_320,,Female,Urban,Monthly,47.7,2023-04-24
CUST_321,,Female,Rural,Monthly,33.46,2019-07-29
CUST_322,42.0,Female,Suburban,Yearly,58.87,2020-08-02
CUST_323,,Female,Urban,Monthly,42.88,2022-05-08
CUST_324,,Female,Suburban,Monthly,83.88,2021-08-31
CUST_325,46.0,Male,Rural,Prepaid,57.48,2022-07-11
CUST_326,,Male,Rural,Monthly,50.84,2023-02-13
CUST_327,63.0,Female,Urban,Yearly,59.72,2023-08-05
CUST_328,35.0,Male,Suburban,Prepaid,70.15,2018-04-21
CUST_329,19.0,Male,Urban,Monthly,71.61,2022-06-12
CUST_330,52.0,Male,Rural,Yearly,63.92,2023-07-01
CUST_331,33.0,Male,Suburban,Monthly,70.65,2018-07-07
CUST_332,,Female,Urban,Monthly,68.05,2019-02-22
CUST_333,,Male,Rural,Prepaid,63.64,2023-11-02
CUST_334,50.0,Female,Urban,Monthly,44.09,2018-04-13
CUST_335,21.0,Female,Suburban,Monthly,68.86,2020-05-08
CUST_336,50.0,Male,Suburban,Prepaid,43.57,2022-12-09
CUST_337,,Female,Suburban,Monthly,53.95,2020-10-12
CUST_338,,Male,Suburban,Prepaid,44.36,2021-10-19
CUST_339,65.0,Male,Suburban,Monthly,60.11,2021-09-04
CUST_340,37.0,Male,Urban,Yearly,69.19,2022-12-22
CUST_341,,Female,Urban,Monthly,43.9,2022-09-17
CUST_342,24.0,Female,Urban,Monthly,28.82,2020-11-23
CUST_343,,Female,Urban,Monthly,65.16,2023-01-19
CUST_344,34.0,Male,Rural,Prepaid,65.53,2021-12-12
CUST_345,50.0,Male,Rural,Yearly,73.47,2018-09-21
CUST_346,65.0,Male,Urban,Prepaid,63.41,2021-05-04
CUST_347,29.0,Female,Rural,Prepaid,63.75,2020-11-03
CUST_348,68.0,Male,Rural,Monthly,39.24,2021-06-16
CUST_349,39.0,Male,Suburban,Monthly,61.06,2018-10-16
CUST_350,39.0,Female,Urban,Prepaid,82.2,2019-01-23
CUST_351,,Female,Rural,Prepaid,41.71,2019-04-23
CUST_352,47.0,Female,Rural,Yearly,31.73,2019-09-01
CUST_353,55.0,Male,Urban,Prepaid,52.11,2018-12-03
CUST_354,55.0,Male,Suburban,Prepaid,64.06,2019-12-15
CUST_355,62.0,Male,Urban,Prepaid,53.25,2022-08-08
CUST_356,68.0,Female,Suburban,Prepaid,76.76,2021-06-19
CUST_357,,Female,Rural,Monthly,37.09,2020-09-22
CUST_358,,Female,Suburban,Monthly,27.27,2018-09-21
CUST_359,44.0,Female,Suburban,Monthly,71.44,2019-10-23
CUST_360,,Male,Urban,Prepaid,28.88,2018-03-08
CUST_361,38.0,Male,Rural,Prepaid,54.76,2019-05-04
CUST_362,47.0,Male,Urban,Prepaid,71.03,2023-09-01
CUST_363,,Male,Urban,Prepaid,53.24,2019-11-04
CUST_364,45.0,Male,Rural,Prepaid,39.53,2018-02-27
CUST_365,64.0,Male,Urban,Prepaid,69.08,2018-08-19
CUST_366,,Male,Urban,Prepaid,52.56,2022-03-03
CUST_367,22.0,Male,Suburban,Monthly,46.69,2019-01-31
CUST_368,65.0,Female,Urban,Prepaid,74.65,2022-08-20
CUST_369,36.0,Female,Rural,Prepaid,44.36,2023-02-21
CUST_370,21.0,Male,Urban,Prepaid,41.01,2021-01-07
CUST_371,,Female,Suburban,Prepaid,36.46,2022-01-04
CUST_372,,Male,Urban,Monthly,68.24,2023-06-13
CUST_373,34.0,Male,Urban,Prepaid,56.41,2022-06-26
CUST_374,61.0,Female,Urban,Prepaid,42.69,2021-01-27
CUST_375,45.0,Male,Suburban,Prepaid,28.42,2018-09-20
CUST_376,47.0,Male,Rural,Prepaid,71.13,2021-04-05
CUST_377,,Male,Rural,Monthly,42.91,2023-03-06
CUST_378,,Male,Suburban,Yearly,22.71,2022-07-26
CUST_379,23.0,Male,Suburban,Prepaid,51.31,2018-12-07
CUST_380,52.0,Male,Urban,Monthly,65.49,2022-05-12
CUST_381,58.0,Male,Rural,Prepaid,60.8,2018-12-30
CUST_382,54.0,Female,Suburban,Prepaid,51.22,2021-09-26
CUST_383,41.0,Female,Rural,Prepaid,43.37,2020-11-30
CUST_384,46.0,Male,Urban,Yearly,41.59,2021-12-01
CUST_385,66.0,Female,Suburban,Prepaid,69.14,2021-11-01
CUST_386,63.0,Male,Rural,Yearly,20.71,2018-12-13
CUST_387,48.0,Male,Rural,Monthly,35.76,2019-03-14
CUST_388,52.0,Male,Urban,Prepaid,48.56,2022-04-14
CUST_389,50.0,Male,Suburban,Monthly,20.09,2020-10-29
CUST_390,,Female,Rural,Yearly,46.73,2020-06-20
CUST_391,,Female,Urban,Yearly,31.6,2023-11-03
CUST_392,49.0,Female,Rural,Monthly,57.12,2019-07-12
CUST_393,40.0,Female,Urban,Prepaid,41.4,2021-01-27
CUST_394,50.0,Male,Rural,Prepaid,44.0,2022-04-07
CUST_395,20.0,Female,Rural,Prepaid,40.35,2020-09-02
CUST_396,35.0,Male,Urban,Monthly,60.14,2021-09-16
CUST_397,42.0,Male,Suburban,Yearly,48.97,2022-02-24
CUST_398,,Female,Urban,Monthly,64.19,2021-10-24
CUST_399,48.0,Male,Suburban,Yearly,68.12,2019-10-22
CUST_400,20.0,Female,Rural,Prepaid,45.69,2022-09-25
CUST_401,57.0,Female,Rural,Monthly,39.54,2019-05-13
CUST_402,63.0,Female,Urban,Yearly,43.72,2019-10-05
CUST_403,41.0,Female,Urban,Monthly,89.93,2019-02-26
CUST_404,67.0,Female,Suburban,Monthly,40.74,2021-03-14
CUST_405,49.0,Male,Suburban,Monthly,47.38,2021-11-02
CUST_406,64.0,Female,Suburban,Monthly,53.22,2020-08-16
CUST_407,39.0,Female,Urban,Yearly,58.2,2020-03-28
CUST_408,40.0,Male,Rural,Monthly,51.55,2020-03-13
CUST_409,,Female,Urban,Prepaid,76.61,2023-05-30
CUST_410,44.0,Female,Rural,Monthly,53.54,2022-08-18
CUST_411,59.0,Male,Urban,Prepaid,47.76,2020-06-20
CUST_412,19.0,Male,Urban,Monthly,64.34,2019-09-01
CUST_413,,Female,Suburban,Prepaid,36.7,2018-12-29
CUST_414,,Male,Rural,Yearly,58.09,2019-07-18
CUST_415,57.0,Female,Urban,Yearly,44.44,2023-04-24
CUST_416,50.0,Male,Urban,Prepaid,69.28,2018-01-04
CUST_417,26.0,Female,Rural,Prepaid,70.44,2023-01-27
CUST_418,,Female,Urban,Monthly,47.39,2020-03-22
CUST_419,,Female,Rural,Monthly,36.94,2021-05-17
CUST_420,,Male,Suburban,Prepaid,22.07,2018-07-02
CUST_421,46.0,Female,Suburban,Prepaid,53.38,2019-08-25
CUST_422,,Male,Rural,Monthly,18.01,2020-10-03
CUST_423,,Female,Suburban,Monthly,48.72,2018-09-29
